,customer_id,customer_name,customer_email
0,47178,William Doe,william.doe@gmail.com
1,47178,William Doe,william.doe@gmail.com
2,94720,Emile Tumson,emile.tumson@gmail.com
3,94720,Emile Tumson,emile.tumson@gmail.com
4,59933,Ethan Jones,ethan.jones@gmail.com
5,23955,Daniel Smith,daniel.smith@gmail.com
6,23955,Daniel Smith,daniel.smith@gmail.com
7,59933,Ethan Jones,ethan.jones@gmail.com
8,59933,Ethan Jones,ethan.jones@gmail.com
9,23955,Daniel Smith,daniel.smith@gmail.com
10,23955,Daniel Smith,daniel.smith@gmail.com
11,23955,Daniel Smith,daniel.smith@gmail.com
12,47178,William Doe,william.doe@gmail.com
13,23955,Daniel Smith,daniel.smith@gmail.com
14,23955,Daniel Smith,daniel.smith@gmail.com
15,47178,William Doe,william.doe@gmail.com
16,47178,William Doe,william.doe@gmail.com
17,59933,Ethan Jones,ethan.jones@gmail.com
18,59933,Ethan Jones,ethan.jones@gmail.com
19,47178,William Doe,william.doe@gmail.com
20,47178,William Doe,william.doe@gmail.com
21,94720,Emile Tumson,emile.tumson@gmail.com
22,23955,Daniel Smith,daniel.smith@gmail.com
23,59933,Ethan Jones,ethan.jones@gmail.com
24,59933,Ethan Jones,ethan.jones@gmail.com
25,94720,Emile Tumson,emile.tumson@gmail.com
26,94720,Emile Tumson,emile.tumson@gmail.com
27,94720,Emile Tumson,emile.tumson@gmail.com
28,59933,Ethan Jones,ethan.jones@gmail.com
29,59933,Ethan Jones,ethan.jones@gmail.com
30,23955,Daniel Smith,daniel.smith@gmail.com
31,94720,Emile Tumson,emile.tumson@gmail.com
32,94720,Emile Tumson,emile.tumson@gmail.com
33,59933,Ethan Jones,ethan.jones@gmail.com
34,59933,Ethan Jones,ethan.jones@gmail.com
35,59933,Ethan Jones,ethan.jones@gmail.com
36,59933,Ethan Jones,ethan.jones@gmail.com
